Product_Name,Older Price,New Price,Discount,Rating
"(Renewed) HP Elitebook Laptop 2560p Intel Core i5 - 2540m Processor, 4 GB Ram & 128 GB SSD, 12.5 Inches Notebook Computer",₹ 59990,₹ 14990,2.5 out of 5 stars,2.5 out of 5 stars
(Renewed) HP THIN CLIENT T420 (AMD-GX 1st GEN/2GB RAM/7GB SSD) 1 Year Warranty,₹ 29999,₹ 3315,(89% off),
"(Renewed) Intel Lenovo Thinkpad T430 14.1-inches Laptop - 3rd Gen Core i5 3320M/4GB/1TB/Windows 10 Pro 64 Bit/Integrated Graphics, Black",₹ 89990,₹ 14452,3.2 out of 5 stars,3.2 out of 5 stars
"(Renewed) Lenovo IdeaPad 6th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/320 GB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 89999,₹ 15999,2.3 out of 5 stars,2.3 out of 5 stars
"(Renewed) Lenovo IdeaPad 6th Gen Intel Core i3 Thin & Light HD Laptop (8 GB DDR4 RAM/500 GB HDD/14"" (35.6 cm)/Windows 11/MS Office/WiFi/Bluetooth/Webcam/Integrated Graphics)",₹ 50000,₹ 15998,(68% off),
(Renewed) Lenovo ThinkPad 14 inches/35.56 cm HD Laptop - Intel Core i5 6th Gen/8 GB RAM/256 GB SSD/Windows 10 Pro/MS Office 19/Webcam/USB 3.0/WiFi/BT/Cardreader/Pan India Warranty/Integrated Graphics,₹ 80000,₹ 19209,3.4 out of 5 stars,3.4 out of 5 stars
"(Renewed) Lenovo ThinkPad 5th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/12.5"" (31.8 cm)/Windows 10 Pro/MS Office/WiFi/Bluetooth 4.0/Webcam/Intel HD Graphics)",₹ 89999,₹ 17999,4.2 out of 5 stars,4.2 out of 5 stars
"(Renewed) Lenovo Thinkpad Laptop X250 Intel Core i5 - 5300u Processor, 8 GB Ram & 256 GB SSD, Win10, 12.5 inches 1.3 kg Ultralight Computer , Windows 10 Pro",₹ 89999,₹ 17099,3.4 out of 5 stars,3.4 out of 5 stars
"(Renewed)Lenovo ThinkPad L450 5th Gen Intel Core i3 Thin & Light HD Laptop (4 GB RAM/128 GB SSD/14"" (35.6 cm)/Windows 10/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹ 40000,₹ 14998,4.1 out of 5 stars,4.1 out of 5 stars
"(Renewed)Lenovo ThinkPad L450 5th Gen Intel Core i3 Thin & Light HD Laptop (8 GB RAM/128 GB SSD/14"" (35.6 cm)/Windows 10/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹ 89999,₹ 14499,3.4 out of 5 stars,3.4 out of 5 stars
"(Renewed)Lenovo ThinkPad L450 5th Gen Intel Core i3 Thin & Light HD Laptop (8 GB RAM/500 GB HDD/14"" (35.6 cm)/Windows 10/MS Office/Wifi/Bluetooth 4.0/Webcam/Integrated Graphics)",₹ 30000,₹ 15499,3.3 out of 5 stars,3.3 out of 5 stars
"Lenovo 2018 ThinkPad 11e 11.6-Inch Laptop(Intel Celeron N2920 1.8GHz, 4G DDR RAM, 128SSD, Windows 10 Pro 64-Bit) - (Renewed)",₹ 49990,₹ 11990,4.1 out of 5 stars,4.1 out of 5 stars
"Lenovo E41-55 AMD 14-inch HD 220 Nits Antiglare Thin and Light Laptop (AMD Athlon A3045B Pro/4GB RAM/1TB HDD/DOS /Integrated AMD Graphics/Grey/1 Year Onsite/1.59 kg), 82FJ009JIH",₹ 51118,₹ 18730,3.1 out of 5 stars,3.1 out of 5 stars
"Motorola e40 (Pink Clay, 64 GB) (4 GB RAM)",₹ 10999,₹ 8970,4.2 out of 5 stars,4.2 out of 5 stars
