R577275763,NULL,3400,3
R321108455,NULL,3400,3
R765605807,NULL,3400,3
R122556897,"Offline Payment ₹3,399.00",3399,1
R942668486,NULL,3350,1
R546797144,NULL,3298,2
R190573244,"Offline Payment ₹3,298.00",3298,2
R473884283,NULL,3199,83
R688459969,NULL,3199,83
R557423202,NULL,3199,83
R059795088,NULL,3199,83
R839352243,NULL,3199,83
R689456610,NULL,3199,83
R770645025,NULL,3199,83
R922879608,NULL,3199,83
R939760040,NULL,3199,83
R759601933,NULL,3199,83
R711371655,NULL,3199,83
R509960691,NULL,3199,83
R868353473,NULL,3199,83
R524717809,NULL,3199,83
R536394696,NULL,3199,83
R393940120,NULL,3199,83
R266876619,NULL,3199,83
R599593142,NULL,3199,83
R537417206,NULL,3199,83
R198901271,NULL,3199,83
R075944621,NULL,3199,83
R484661123,NULL,3199,83
R927433730,NULL,3199,83
R061155802,NULL,3199,83
R486488435,NULL,3199,83
R430918499,NULL,3199,83
R383925820,NULL,3199,83
R353497454,NULL,3199,83
R884349824,NULL,3199,83
R444626575,NULL,3199,83
R106911753,NULL,3199,83
R342190511,NULL,3199,83
R672085644,NULL,3199,83
R055275451,NULL,3199,83
R105266586,NULL,3199,83
R424110316,NULL,3199,83
R201864055,NULL,3199,83
R648665305,NULL,3199,83
R712477950,NULL,3199,83
R626625012,NULL,3199,83
R561099337,NULL,3199,83
R461457960,NULL,3199,83
R829639836,NULL,3199,83
R043712539,NULL,3199,83
R575460288,NULL,3199,83
R618323301,NULL,3199,83
R986858165,NULL,3199,83
R096001454,NULL,3199,83
R110899127,NULL,3199,83
R345927349,NULL,3199,83
R723151085,NULL,3199,83
R610759702,NULL,3199,83
R112052795,NULL,3199,83
R654300123,NULL,3199,83
R497947418,NULL,3199,83
R322697692,NULL,3199,83
R090768479,NULL,3199,83
R873857518,NULL,3199,83
R967657525,NULL,3199,83
R344797804,NULL,3199,83
R574846250,NULL,3199,83
R425689942,NULL,3199,83
R521024557,NULL,3199,83
R418400923,NULL,3199,83
R062821299,NULL,3199,83
R938962736,NULL,3199,83
R374586229,NULL,3199,83
R195804056,NULL,3199,83
R051388134,NULL,3199,83
R257356041,NULL,3199,83
R863835424,NULL,3199,83
R571410258,NULL,3199,83
R717190860,NULL,3199,83
R805220511,NULL,3199,83
R402524230,NULL,3199,83
R369229535,NULL,3199,83
R410875027,NULL,3199,83
R661426104,NULL,3199,83
R016465303,NULL,3199,83
R746439731,NULL,3199,83
R336278556,NULL,3199,83
R067174874,NULL,3199,83
R490085515,NULL,3199,83
R304577106,NULL,3198,1
R160670879,NULL,3149,6
R246201103,NULL,3149,6
R596124528,NULL,3149,6
R195220158,NULL,3149,6
R214330813,NULL,3149,6
R935033008,NULL,3149,6
R592165947,NULL,3000,1
R074122894,NULL,2999,6
R157329196,NULL,2999,6
R957588740,NULL,2999,6
R466333331,NULL,2999,6
R940619134,NULL,2999,6
R379660080,NULL,2999,6
R107406633,NULL,2998,2
R406161996,NULL,2998,2
R814626482,NULL,2994,1
R734054745,NULL,2949,1
R013507897,NULL,2799,1
R571918001,"Offline Payment ₹2,798.00",2798,2
R680133836,NULL,2798,2
R378835168,NULL,2700,3
R515916734,NULL,2700,3
R467074132,NULL,2700,3
R554830047,NULL,2500,6
R660515587,NULL,2500,6
R215154234,NULL,2500,6
R069925773,NULL,2500,6
R489633500,NULL,2500,6
R157253363,NULL,2500,6
R842942556,NULL,2499,2
R436935866,NULL,2499,2
R684559633,NULL,2495,2
R994298888,NULL,2495,2
R136224901,NULL,2400.2,1
R828668563,NULL,2399,1
R127121233,NULL,2397,1
R164560710,NULL,2299,27
R409204299,NULL,2299,27
R807715509,NULL,2299,27
R146076815,NULL,2299,27
R867456412,NULL,2299,27
R819698747,NULL,2299,27
R195199296,NULL,2299,27
R654225782,NULL,2299,27
R884274082,NULL,2299,27
R075519011,NULL,2299,27
R242101764,NULL,2299,27
R437346928,NULL,2299,27
R294248781,NULL,2299,27
R045881853,NULL,2299,27
R914004109,"Offline Payment ₹2,299.00",2299,27
R627737080,NULL,2299,27
R444878024,NULL,2299,27
R251723287,NULL,2299,27
R437642094,NULL,2299,27
R085051997,NULL,2299,27
R899677509,NULL,2299,27
R121113121,NULL,2299,27
R472890631,NULL,2299,27
R004476488,NULL,2299,27
R526038353,NULL,2299,27
R185826208,NULL,2299,27
R418908268,NULL,2299,27
R398270929,NULL,2249,2
R053118753,NULL,2249,2
R037759865,NULL,2199,10
R616959302,"Offline Payment ₹2,199.00",2199,10
R986468491,"CCAvenue ₹2,199.00",2199,10
R494064077,"Offline Payment ₹2,199.00",2199,10
R969504414,NULL,2199,10
R428601129,"Offline Payment ₹2,199.00",2199,10
R752812457,"Offline Payment ₹2,199.00",2199,10
R972061471,NULL,2199,10
R152275293,NULL,2199,10
R407347295,"Offline Payment ₹2,199.00",2199,10
R704309206,NULL,2100,1
R858043122,NULL,2099,5
R464127417,NULL,2099,5
R800443458,"Offline Payment ₹2,099.00",2099,5
R411650138,"Offline Payment ₹2,099.00",2099,5
R580567998,"CCAvenue ₹2,099.00",2099,5
R702678506,NULL,2097,1
R809961055,NULL,2049,2
R278485419,NULL,2049,2
R411043434,NULL,2000,3
R192037084,NULL,2000,3
R414254148,"Offline Payment ₹2,000.00",2000,3
R683222501,NULL,1999,59
R999984993,NULL,1999,59
R813527136,NULL,1999,59
R625072823,NULL,1999,59
R605864717,NULL,1999,59
R940175819,NULL,1999,59
R555469198,NULL,1999,59
R374937551,NULL,1999,59
R426638068,NULL,1999,59
R956881993,NULL,1999,59
R225689560,NULL,1999,59
R192015374,NULL,1999,59
R739830920,NULL,1999,59
R814564775,NULL,1999,59
R716051048,NULL,1999,59
R660406531,NULL,1999,59
R077310042,NULL,1999,59
R676642994,NULL,1999,59
R584290683,NULL,1999,59
R830584739,NULL,1999,59
R355000407,NULL,1999,59
R663302088,NULL,1999,59
R714635203,NULL,1999,59
R050963387,NULL,1999,59
R529850243,NULL,1999,59
R698949954,"Offline Payment ₹1,999.00",1999,59
R012129699,NULL,1999,59
R928318927,"Offline Payment ₹1,999.00",1999,59
R397240922,"Offline Payment ₹1,999.00",1999,59
R781108377,"Offline Payment ₹1,999.00",1999,59
R510644150,"Offline Payment ₹1,999.00",1999,59
R164410109,"Offline Payment ₹1,999.00",1999,59
R571227068,NULL,1999,59
R846626173,NULL,1999,59
R378351960,NULL,1999,59
R857462940,NULL,1999,59
R599359724,NULL,1999,59
R507150233,NULL,1999,59
R285321723,"Offline Payment ₹1,999.00",1999,59
R818426015,NULL,1999,59
R512497801,NULL,1999,59
R437288516,NULL,1999,59
R830190273,NULL,1999,59
R283595030,"Offline Payment ₹1,999.00",1999,59
R483870164,NULL,1999,59
R103494301,NULL,1999,59
R513702354,NULL,1999,59
R041616248,"Offline Payment ₹1,999.00",1999,59
R877593612,NULL,1999,59
R823105767,NULL,1999,59
R991021379,NULL,1999,59
R733578247,NULL,1999,59
R415232866,NULL,1999,59
R829477508,NULL,1999,59
R610028478,NULL,1999,59
R274712132,NULL,1999,59
R385733561,NULL,1999,59
R588509634,NULL,1999,59
R938243322,"Offline Payment ₹1,999.00",1999,59
R727809280,NULL,1998,2
R842888376,NULL,1998,2
R141263882,NULL,1995,1
R743853631,NULL,1992,1
R254534188,NULL,1960.91,1
R200761223,NULL,1949,1
R645155068,NULL,1899,2
R046814280,NULL,1899,2
R327234515,NULL,1879,1
R208596907,NULL,1800,1
R563556135,"CCAvenue ₹1,799.00",1799,1
R971148772,NULL,1798,3
R811028658,"CCAvenue ₹1,798.00",1798,3
R724763133,NULL,1798,3
R221967843,NULL,1748,2
R338628908,NULL,1748,2
R085983251,"CCAvenue ₹1,700.00",1700,179
R311910847,NULL,1700,179
R729109249,NULL,1700,179
R396080846,NULL,1700,179
R068790838,NULL,1700,179
R935491894,NULL,1700,179
R598417408,NULL,1700,179
R879477573,NULL,1700,179
R586796720,NULL,1700,179
R664840161,NULL,1700,179
R570036379,NULL,1700,179
R009563659,NULL,1700,179
R905849286,NULL,1700,179
R808056124,NULL,1700,179
R396090239,NULL,1700,179
R818289287,NULL,1700,179
R368908102,NULL,1700,179
R088361446,NULL,1700,179
R579766208,NULL,1700,179
R793585325,NULL,1700,179
R437440970,NULL,1700,179
R973425198,NULL,1700,179
R139995118,NULL,1700,179
R525989946,NULL,1700,179
R623272588,NULL,1700,179
R759852115,NULL,1700,179
R491976934,NULL,1700,179
R511505271,NULL,1700,179
R383204693,NULL,1700,179
R294142912,NULL,1700,179
R688067037,NULL,1700,179
R395808951,NULL,1700,179
R093706435,NULL,1700,179
R050880610,NULL,1700,179
R175438811,NULL,1700,179
R235509272,NULL,1700,179
R062693968,NULL,1700,179
R922202971,NULL,1700,179
R851679578,NULL,1700,179
R552123750,NULL,1700,179
R700695072,NULL,1700,179
R167468205,NULL,1700,179
R794517237,NULL,1700,179
R501848254,NULL,1700,179
R356447572,NULL,1700,179
R053708664,NULL,1700,179
R999592541,NULL,1700,179
R248754814,NULL,1700,179
R957577217,NULL,1700,179
R116525471,NULL,1700,179
R616549902,NULL,1700,179
R087282648,NULL,1700,179
R603390491,NULL,1700,179
R443231939,NULL,1700,179
R591559052,NULL,1700,179
R272273692,NULL,1700,179
R419979746,NULL,1700,179
R209854008,NULL,1700,179
R066823306,NULL,1700,179
R175034633,NULL,1700,179
R407848364,NULL,1700,179
R976547865,NULL,1700,179
R093388680,NULL,1700,179
R541839448,NULL,1700,179
R908393245,NULL,1700,179
R439761950,NULL,1700,179
R406579654,NULL,1700,179
R070609707,NULL,1700,179
R007604304,NULL,1700,179
R986918040,NULL,1700,179
R759912599,NULL,1700,179
R654069907,NULL,1700,179
R423109270,NULL,1700,179
R746956515,NULL,1700,179
R572191685,NULL,1700,179
R720173564,NULL,1700,179
R252371306,NULL,1700,179
R865832639,NULL,1700,179
R481867793,NULL,1700,179
R152131529,NULL,1700,179
R552527960,NULL,1700,179
R179051437,NULL,1700,179
R579290887,NULL,1700,179
R429945896,NULL,1700,179
R436421833,NULL,1700,179
R543883358,NULL,1700,179
R700895194,NULL,1700,179
R440121873,NULL,1700,179
R501703363,NULL,1700,179
R667942781,NULL,1700,179
R445014159,NULL,1700,179
R215637329,NULL,1700,179
R541104149,NULL,1700,179
R992045070,NULL,1700,179
R526777282,NULL,1700,179
R441445417,NULL,1700,179
R133642643,NULL,1700,179
R817370795,NULL,1700,179
R528250520,NULL,1700,179
R485233614,NULL,1700,179
R282281815,NULL,1700,179
R209514137,NULL,1700,179
R297062923,NULL,1700,179
R053733621,NULL,1700,179
R131606644,NULL,1700,179
R230213150,NULL,1700,179
R141549271,NULL,1700,179
R631399754,NULL,1700,179
R011062148,NULL,1700,179
R150476484,NULL,1700,179
R049854431,NULL,1700,179
R070289760,NULL,1700,179
R641950899,NULL,1700,179
R537851759,NULL,1700,179
R251219682,NULL,1700,179
R216273012,NULL,1700,179
R514383212,NULL,1700,179
R829914516,NULL,1700,179
R575796426,NULL,1700,179
R646903285,NULL,1700,179
R398165499,NULL,1700,179
R377256419,NULL,1700,179
R833593029,NULL,1700,179
R645510880,NULL,1700,179
R733083329,NULL,1700,179
R152427668,NULL,1700,179
R162808896,NULL,1700,179
R685965952,NULL,1700,179
R747703434,NULL,1700,179
R529882378,NULL,1700,179
R751552563,NULL,1700,179
R850096331,NULL,1700,179
R101196376,"CCAvenue ₹1,700.00",1700,179
R973845196,NULL,1700,179
R972377957,NULL,1700,179
R568992705,NULL,1700,179
R878527435,NULL,1700,179
R573471872,NULL,1700,179
R749090416,NULL,1700,179
R316775100,NULL,1700,179
R905017688,NULL,1700,179
R241428313,NULL,1700,179
R627938096,NULL,1700,179
R509154252,NULL,1700,179
R084483035,NULL,1700,179
R289280457,NULL,1700,179
R069160494,NULL,1700,179
R656619107,NULL,1700,179
R149360401,NULL,1700,179
R378352752,NULL,1700,179
R041655958,NULL,1700,179
R789600151,NULL,1700,179
R938857318,NULL,1700,179
R354121056,NULL,1700,179
R816431866,NULL,1700,179
R416948516,NULL,1700,179
R867790548,NULL,1700,179
R919181637,NULL,1700,179
R201263792,NULL,1700,179
R146432588,NULL,1700,179
R784494867,NULL,1700,179
R735667509,NULL,1700,179
R412261661,NULL,1700,179
R544948584,NULL,1700,179
R511196254,NULL,1700,179
R735970000,NULL,1700,179
R197240566,NULL,1700,179
R628654425,NULL,1700,179
R645885218,NULL,1700,179
R234744949,NULL,1700,179
R718899795,NULL,1700,179
R545622796,NULL,1700,179
R425223018,NULL,1700,179
R655619849,NULL,1700,179
R222685718,NULL,1700,179
R650719006,NULL,1700,179
R541126524,NULL,1700,179
R405374115,NULL,1700,179
R789916248,NULL,1700,179
R244921243,NULL,1699,63
R289383365,NULL,1699,63
R605041441,NULL,1699,63
R577330980,NULL,1699,63
R229503254,NULL,1699,63
R592237340,NULL,1699,63
R934621273,NULL,1699,63
